PING 10.0.0.50 (10.0.0.50) 56(84) bytes of data.
64 bytes from 10.0.0.50: icmp_seq=1 ttl=64 time=0.058 ms
64 bytes from 10.0.0.50: icmp_seq=2 ttl=64 time=0.100 ms
64 bytes from 10.0.0.50: icmp_seq=3 ttl=64 time=0.121 ms
64 bytes from 10.0.0.50: icmp_seq=4 ttl=64 time=0.120 ms
64 bytes from 10.0.0.50: icmp_seq=5 ttl=64 time=0.112 ms
64 bytes from 10.0.0.50: icmp_seq=6 ttl=64 time=0.105 ms
64 bytes from 10.0.0.50: icmp_seq=7 ttl=64 time=0.123 ms
64 bytes from 10.0.0.50: icmp_seq=8 ttl=64 time=0.107 ms
64 bytes from 10.0.0.50: icmp_seq=9 ttl=64 time=0.124 ms
64 bytes from 10.0.0.50: icmp_seq=10 ttl=64 time=0.127 ms
64 bytes from 10.0.0.50: icmp_seq=11 ttl=64 time=0.176 ms
64 bytes from 10.0.0.50: icmp_seq=12 ttl=64 time=0.139 ms
64 bytes from 10.0.0.50: icmp_seq=13 ttl=64 time=0.082 ms
64 bytes from 10.0.0.50: icmp_seq=14 ttl=64 time=0.080 ms
64 bytes from 10.0.0.50: icmp_seq=15 ttl=64 time=0.110 ms
64 bytes from 10.0.0.50: icmp_seq=16 ttl=64 time=0.103 ms
64 bytes from 10.0.0.50: icmp_seq=17 ttl=64 time=0.108 ms
64 bytes from 10.0.0.50: icmp_seq=18 ttl=64 time=0.116 ms
64 bytes from 10.0.0.50: icmp_seq=19 ttl=64 time=0.108 ms
64 bytes from 10.0.0.50: icmp_seq=20 ttl=64 time=0.143 ms
64 bytes from 10.0.0.50: icmp_seq=21 ttl=64 time=0.118 ms
64 bytes from 10.0.0.50: icmp_seq=22 ttl=64 time=0.115 ms
64 bytes from 10.0.0.50: icmp_seq=23 ttl=64 time=0.127 ms
64 bytes from 10.0.0.50: icmp_seq=24 ttl=64 time=0.120 ms
64 bytes from 10.0.0.50: icmp_seq=25 ttl=64 time=0.118 ms
64 bytes from 10.0.0.50: icmp_seq=26 ttl=64 time=0.105 ms
64 bytes from 10.0.0.50: icmp_seq=27 ttl=64 time=0.181 ms
64 bytes from 10.0.0.50: icmp_seq=28 ttl=64 time=0.109 ms
64 bytes from 10.0.0.50: icmp_seq=29 ttl=64 time=0.104 ms
64 bytes from 10.0.0.50: icmp_seq=30 ttl=64 time=0.122 ms
